389880	143393
237796	76124
102404	114527
39671	86332
1950	178899
16	73919
225008	143361
87538	1505
39683	1511
39982	2081703
73126	1496
650	1731
71934	831
8294	43305
114	185008
53474	712991
1398	2109691
337	2109690
91	39491
52604	617123
9543	66219
8444	1871021
701	29370
2657	1834196
1277	208479
199	84030
15939	28446
14239	649756
1710	1912897
36	1322
6014	1796616
7192	301301
1762	1679721
615	29360
84205	1736
2247	39488
791	39485
207	29322
9897	33952
2619	2184575
5910	1519
2215	1501
2099	84022
1174	394958
1802	1491
480	1494
330	1488
401	1561
1394	1520
219	29341
210	1513
265	1502
157	1042156
53	1493
398	1702238
20	46867
14	1492
12	1216932
13	1504
10	1534
10	182773
7	2068654
5	169679
5	1497
5	641107
3	36745
5	217159
3	755731
2	238834
4	332101
4	1548
22	1538
19	1509
6581	2086584
554	1424294
442	208226
21	461876
41	1041504
33	2082193
5821	51197
1359	102134
322	1564
327	1565
56	59610
6	1833852
240	55583
116	471827
47	1563
33	885581
18	339862
4	79209
77	58138
26	49338
15	142877
3	36854
1	233055
25	51515
20	863643
2308	292800
1165	1161942
43	1160721
12	1264
861	253239
137	853
92	1572656
7	29343
2219	84032
384	236753
96	1677857
590	1515
10	288965
56	1510
30	884684
1	1521
674	863
5	86170
306	1981510
154	1297617
33	2109688
75	351091
11	2109687
59	2734
17	1805714
7	35701
2472	252966
1459	29323
30	108150
8	106578
7	2325
3	46354
3	583357
156	1525
33	42838
56	499229
16	85874
14	911092
11	161154
7	129958
743	44001
5	717609
4	413889
110	1550240
18	1517
3	29329
7	291990
10	184064
3	1794699
233	31909
36	2331
5	656519
25	28187
9	42422
60	375929
97948	1338
84464	1328
21990	76860
80073	1305
52582	45634
46636	1302
171350	1314
35147	1318
30246	28037
29473	1303
21583	1309
155536	1313
18024	1902136
26584	1308
15973	1307
31457	102684
45951	1311
4186	1310
3227	1346
3222	1304
2830	1825069
3672	1839799
2183	1811193
2877	1334
85	1336
1432	712633
1155	1348
1063	82348
926	113107
831	2021971
9645	1319
439	2173853
400	1759399
358	400065
390	197614
334	1917441
268	1345
152	1156433
143	1156431
129	257758
118	1326
125	150055
60	1814128
3	1340
2	1349
1	1335
1	1888195
1	315405
264	1358
54	1364
17	1363
1	1366
31244	1903686
69	708126
7110	2751
1463	208596
76	2748
21	1564681
47	1911586
1841	240427
1355	1624
1090	1613
421	1596
475	1599
257	1598
459	1597
12	1582
224	97478
220	1584
134	1622
138	1604
124	33959
197	1579
220	1587
67	109790
308	1590
60	60520
49	1623
38	1581
36	47770
29	1303590
26	148814
21	267818
15	89059
12	83683
11	1580
11	1602
7	1847728
6	375175
4	47715
4	1610
4	1074467
4	637971
3	2304606
3	1625
2	53444
3	1545702
2	1589
2	1218493
2	1193095
2	293371
2	52242
1	2099788
1	1603
1	1218494
1	152331
1	164393
1	267363
1	1007676
1	1600
1	1601
45	187452
93	51663
35	1255
10	1254
1487	44008
1383	1352
754	1351
85	1354
3	53345
3	53346
3	160453
2	2005703
1	37734
2892	51669
120	633807
3	519472
1	33970
1349	1376
235	119206
98	87541
31	128944
905	51665
60	2036206
755	137591
159	759620
49	155866
11	165096
1	1631871
103	1245
2	1252
2	33964
8	136609
2	1511761
1	1244
1	255248
31	336988
15	1247
10	1993866
64054	29391
202	1785995
565	360911
22	132920
3	223958
4	332410
5032	1396
4569	1428
16426	1392
53	155322
40	1405
21	580165
6	1892404
4	64104
3	2053832
2	1839798
8303	492670
1223	1390
11685	1423
105	1402
51	1648923
36	119858
706	1452
435	293387
2	1049581
3705	2049935
247	2093834
155	1404
136	561879
95	79880
77	1398
73	2011012
68	1664069
47	1413
22	1441095
20	33932
19	199441
17	86664
15	35841
12	1408
12	1547283
11	666686
10	2267265
6	1565991
5	1467
5	1471
4	1478
4	300825
3	352858
3	324767
2	1479
2	665099
2	1628753
2	98228
2	1178537
2	1402861
2	264697
1	421767
1	79883
1	2009331
1	1705566
1	129985
1	632773
211	33938
20	33941
168	1233873
96	33940
7	471223
7	1921421
3	691437
2	1422
275	2052660
24	746691
9	182710
87	2086577
50	2169540
45	1421
20	2072025
1	28031
292	1426
1	1295642
12	33934
21	198467
28	1221500
1	255247
22	1472767
6	1473
4	1482
4	2017483
2	1911587
1	163877
1	403957
9	2213194
7	1230341
4	33936
3	586416
2	1449
1	1570
2227	29385
3537	1280
257	1295
221	985002
146	29388
140	28035
108	1715860
51	1282
44	1290
25	70255
24	29379
17	283734
17	45972
15	214473
10	170573
7	29382
5	1286
4	1281
3	643214
2	70258
2	1294
2	308354
2	1283
1	246432
1	1284
1	985762
1	2025492
117	1849491
31	407035
30	1461582
22	69966
2	1855823
2	1898474
1303	1406
463	1464
119	61624
58	1616788
38	1532905
36	481743
30	1695218
20	1619311
17	162209
17	172713
12	1178515
11	1401
10	59843
7	1870820
6	1870819
5	189426
4	324057
4	414771
4	1126833
4	44251
3	1566358
3	1536774
3	1536772
3	1536770
3	1536769
3	159743
3	160799
3	483937
3	189425
2	1536771
2	169760
2	1462996
2	528191
2	365617
1	1536773
1	1763538
1344	1500254
1	1450761
228	1393
48	1465
9	54913
3	1882832
899	2058136
21	161360
10	414778
2	192421
2	1038856
2	1526927
1	1215089
1	1302659
86	1750719
29	1930546
9	1571
7	1476
1	2283194
35	2320858
28	76853
3	2048654
9	241244
2	1508404
912	1639
3	1640
2	1642
4	2756
158	1471761
138	2071623
116	33943
1	2055160
30	405212
27	1903704
1	1214604
2	85683
388105	33033
9765	1852373
7970	1260
812	1912856
1607	1870984
211	33034
231	45497
29	1556
13174	1852374
101197	69823
67124	971
46777	1884263
5200	712528
9504	713030
6753	712538
1835	158847
83	484770
10	365349
52915	2161821
23308	39950
71392	29466
224	248315
9506	2144175
1273	1675036
410	907
98	1702287
270	905
7	187327
1732	1648
80	1514105
957	1702221
91	1712675
8	39483
284	1522
61	243899
29	1871025
65	1555112
10018	712122
5244	544580
2595	52773
1677	1852377
1510	2081702
1194	178339
1084	1960083
407	2079536
265	2321394
152	111015
61	131110
94	1851395
11	1912795
343	2171980
10	59505
3	131112
39	28264
4	2051
3	1661
1764	2047
51	43675
25	1704044
13	37928
6	656366
6	1849032
4	2079227
3	2211210
15	1118963
1	1357915
1	1652545
3	1771959
3	1806905
15	1646
8	1618207
2	85085
2	121292
2	361575
5	1270
5	37927
4	2170745
2	71999
1	446860
2	2058657
1	256701
450	2103230
22	162426
4	104336
4	2033
3	1938334
3	370764
2	912630
2	300019
2	199592
2	36805
1	1714373
1	84292
10	28447
7	684552
2	399736
2	2220095
1	670052
2	589382
1	708131
1	1987356
1	1855377
1	529884
2	1795630
5	2282656
1	150123
2	1619308
1	2079791
1	145458
1	1561023
113	2039
57	629680
11	1703
29	372663
1	139208
2	1710
1	1980001
19	2283195
4	53358
3	1758689
1	857417
1	1658671
1	443156
13	1711
3	1708
1	11
1	2003551
1	545619
9	1903186
1	556288
1	1630135
1	472569
2	1276
1	571913
2	43674
2	84757
2	60920
1	1863
1019	1072256
205	38289
106	169292
48	571915
578	1717
41	1719
37	43770
29	1050174
18	441500
67	1718
17	35755
15	35757
14	575200
13	43771
12	65058
8	38288
5	38302
5	225326
5	161879
4	38301
3	161896
3	152794
3	191610
3	1230998
3	1408191
3	1487956
3	1697
2	349751
2	1404244
2	191493
2	2080740
2	156978
2	146827
2	28028
2	108486
1	702967
1	1705
1	2079535
1	1737425
1	1652495
1	1721
1	1724
1	1231000
1	1223514
1	1121358
1	38305
1	42817
1	161895
1	258224
1	187491
50	1773
2	78331
20	1764
3	339268
1	1767
1	222805
1	701042
6	1781
6	482462
2	1784
2	722731
4	1768
4	29311
3	1769
3	1879023
2	1545728
1	265949
1	1809
1	1920667
1	1936029
1	2051552
228	1795
4	758802
3	1800
3	370526
2	1772
2	1797
2	1804
2	110539
1	1766
1	1771
1	36814
5	36809
4	83262
1	1578165
5	639313
3	875328
22	37329
8	37326
7	37332
4	37330
4	135487
3	134962
3	455432
7	1990687
6	37919
3	1830
3	43767
3	1653478
2	1653479
2	132919
2	679318
1	1829
2	1807790
1	1805827
1	38310
2	1833
1	1828
22	286802
7	2055
3	1737359
1	2054
1	337191
1	2059875
3	139021
2	499555
2	2052657
1	712270
3	2061
2	1528099
1528	1750
147	1747
4	33011
9	1909732
4	399497
2	1610493
1	2161816
16	1871034
5	671223
3	1744
5	29405
5	1748
8	110319
7	196162
6	450734
5	2045452
29	2045
24	642780
3	2079793
1	2041
1	219314
1	1736691
1	2107713
4	546874
3	546871
2	75385
2	117157
1	182640
136	2059884
113	1849967
198	1916
69	1535768
52	40318
27	68192
31	38300
18	1912
15	1930
12	68570
11	1901
9	68249
3	1908
3	1911
1	1892
1	68179
6	193462
6	1969
6	47763
5	67267
5	2174846
5	379067
5	465541
5	67304
5	1907
5	1355015
5	29303
4	1725411
4	42239
4	1783515
4	1914
4	68246
4	1950
4	33903
4	1038928
3	444103
3	408015
3	1661694
3	1690221
3	1855352
3	362257
3	1736046
3	1812480
3	2184053
3	1827580
3	188770
3	42684
3	54571
3	1940
3	1882757
3	68214
3	1888
3	68280
3	1915
3	1841249
3	92644
2	1616117
2	2072505
2	2083284
2	1262452
2	1890
2	1889
2	1971
2	2135430
2	68209
2	68223
2	348043
10	285530
2	146923
1	1964449
1	1972846
1	1649184
1	2049881
1	1938841
1	1837283
1	2094021
1	1893
1	1926
1	67258
1	68202
1	2211357
1	164348
1	2202000
1	285450
1	285473
1	565560
1	862751
1	1169025
1	1437453
6	2018025
2	1894
1	2066
3	2126346
138	28025
74	216816
53	630129
14	1680
10	1684
6	1685
3	1694
2	28026
1	1681
1	1689
3	78259
1	2702
111	860235
5	1814
4	31958
3	33910
3	1911175
1	208439
1	1804986
1	1896961
9	40990
8	40989
1	632569
16	42197
2	40567
7	240495
4	1641402
2	1690815
1	445576
4	340345
3	2072503
1	1470176
5	1612551
11	211114
6	1586287
5	530584
4	1653480
2	1836
2	103731
2	43357
50	2014
34	280236
2	53437
30	2021
10	1909395
4	2202249
3	2001
8	1411117
6	2020
7	299146
4	1877
4	709883
4	299152
3	356852
3	47858
3	47872
2	47865
2	261654
2	291594
2	307121
1	2201999
1	356851
1	285665
1	47857
2	47850
1	1881
9	1866
6	196914
4	113562
4	649831
11	168697
3	168695
5	2024580
2	2071627
2	2108470
6	1003110
49	2006
10	656024
3	298653
11	1859
3	106370
11	710111
1	298654
3	1907575
17	1884915
3	1884634
3	1884905
2	1884914
1	1884913
26	283811
13	414996
5	138336
3	477641
1	1861
7	304895
4	53461
2	1090615
3	419479
1	1798224
2	131568
2	28049
2	1650658
6974	133926
3026	712411
34	2109685
14	604330
10	1805478
1299	1382
35	1871022
12	33871
5	74426
2	1531429
297	84110
22	1944646
23	79604
11	502558
7	84112
