389981	143393
237802	76124
102413	114527
39675	86332
1950	178899
225074	143361
87555	1505
39685	1511
40001	2081703
73557	1496
650	1731
72038	831
8319	43305
115	185008
53564	712991
1453	2109691
349	2109690
93	39491
53088	617123
9981	66219
9092	1871021
788	29370
3009	1834196
15977	28446
14589	649756
5983	1912897
7539	301301
1774	1679721
619	29360
84210	1736
2250	39488
792	39485
207	29322
12500	33952
5954	1519
2229	1501
2130	84022
1208	394958
1926	1491
492	1494
331	1488
406	1561
1586	1520
221	29341
215	1513
274	1502
157	1042156
54	1493
6597	2086584
557	1424294
457	208226
5821	51197
1359	102134
322	1564
328	1565
56	59610
241	55583
116	471827
77	58138
2309	292800
1205	1161942
862	253239
138	853
93	1572656
2226	84032
384	236753
97	1677857
56	1510
674	863
306	1981510
154	1297617
81	351091
59	2734
2473	252966
1470	29323
156	1525
56	499229
744	44001
112	1550240
233	31909
60	375929
97951	1338
84469	1328
21990	76860
80075	1305
52587	45634
46638	1302
171416	1314
35147	1318
30248	28037
29475	1303
21584	1309
155614	1313
18024	1902136
26595	1308
15979	1307
31462	102684
45963	1311
4186	1310
3227	1346
3222	1304
2830	1825069
3672	1839799
2183	1811193
2877	1334
85	1336
1432	712633
1155	1348
1063	82348
926	113107
831	2021971
9648	1319
439	2173853
400	1759399
358	400065
390	197614
334	1917441
268	1345
152	1156433
143	1156431
129	257758
118	1326
125	150055
60	1814128
324	1358
54	1364
31247	1903686
69	708126
8614	2751
1845	240427
1356	1624
1092	1613
422	1596
477	1599
257	1598
463	1597
224	97478
221	1584
134	1622
139	1604
124	33959
199	1579
227	1587
67	109790
314	1590
60	60520
1487	44008
1384	1352
761	1351
85	1354
2892	51669
120	633807
2183	1376
382	119206
61	2036206
826	137591
163	759620
64258	29391
575	360911
5045	1396
4599	1428
16622	1392
8496	492670
1360	1390
12089	1423
105	1402
53	1648923
435	293387
3759	2049935
248	2093834
155	1404
136	561879
95	79880
77	1398
73	2011012
68	1664069
212	33938
170	1233873
99	33940
275	2052660
116	2086577
2227	29385
17199	1280
257	1295
221	985002
146	29388
141	28035
108	1715860
51	1282
117	1849491
1305	1406
463	1464
119	61624
58	1616788
1344	1500254
238	1393
900	2058136
86	1750719
934	1639
158	1471761
138	2071623
118	33943
388149	33033
9766	1852373
7970	1260
812	1912856
1607	1870984
211	33034
231	45497
13175	1852374
101197	69823
67125	971
46777	1884263
5200	712528
9504	713030
6753	712538
1835	158847
83	484770
52915	2161821
23311	39950
71393	29466
224	248315
9506	2144175
1273	1675036
410	907
98	1702287
272	905
1809	1648
82	1514105
1120	1702221
92	1712675
61	243899
65	1555112
10154	712122
5328	544580
2618	52773
1690	1852377
1521	2081702
1225	178339
1092	1960083
411	2079536
267	2321394
156	111015
62	131110
95	1851395
345	2171980
1807	2047
53	43675
471	2103230
113	2039
1065	1072256
309	38289
127	169292
1547	1750
154	1747
138	2059884
116	1849967
260	1916
70	1535768
53	40318
186	28025
93	216816
53	630129
113	860235
7034	133926
3038	712411
1303	1382
305	84110
4284	713887
958	1160
1208	241425
129	1188228
1816	29559
138	2095
101	92401
1447	61635
246	37692
145	1541959
1105	1005039
290	1889813
175	1986204
424968	729
10902	726
4439	727
2434	712310
189	249188
155	730
37155	732
27449	714
7721	739
2758	747
447	715
77	189834
418	738
76	2030797
217	85404
112	75985
273	731
260	47735
2867	562
61	208962
2357	28901
687	573
110	244366
105	550
89	1812935
59	1778262
655	1922217
66	215689
59	9
992	632
170	630
92	615
169	126385
103	82983
79	67780
70	1486991
3459	2014541
530	1666906
1530	287
132	587753
153	2083051
1171	316
61	303
386	386891
181	34062
57	480
142	29430
607	43658
130	1298881
800	948519
163	645
118	691
93	680
333	666
76	672
73	74109
75	40269
911	870
369	1548547
58	927
362	446
137	40324
114	2291597
123000	824
49249	200
10048	199
1941	827
1704	206
246	374106
80	76517
70	1965231
139	212
137	844
59	387092
47372	1986146
269	44742
142	132132
72	56
98	316277
52237	486
17472	28449
13309	495
6332	1853278
27519	487
1976	488
4858	485
707	490
257	655307
17293	539
1431	72
497	96942
152	2052837
52	504
1013	1658672
274	436515
157	225991
1826	28450
69	13373
64	101571
82	34029
60	1236179
182	916
705	1933912
123	1263979
38146	28123
17579	837
21857	1562970
32225	28112
8659	712710
16781	28131
12695	76123
7181	28129
4994	28132
2270	839
2045	652716
1986	1177574
1994	52227
2417	589437
228	589436
32780	376805
5356	246787
28589	28116
1394	821
492	817
348	47678
111	151276
148	28113
19624	1796646
5649	397865
484	511435
508	1400053
628	1433126
76	1642647
281	1717717
159	1168034
19009	1017
990	1316596
1102	1316593
828	327575
444	1019
303	209053
112	1018
77	1705617
1366	313588
670	584609
688	1850252
874	2058135
457	256
344	558152
170	878220
228	1492737
337	531844
146	1383885
141	34085
3731	336810
220	191579
119	242600
1280	999
321	1085624
176	281120
96	1191459
192893	851
33452	671211
1563	860
215	849
148	1583098
124	850
92	861
50	859
2134	40542
1180	712357
1034	712368
193	34105
97	826
29384	1539298
19904	158
9484	409322
6893	81028
2727	221027
403	167
366	215591
214	88058
212	273376
78	55206
9905	97477
7491	81468
3262	428712
2164	336261
12001	1476577
773	2056494
115	547188
95	85991
201	119394
98	547144
170	423605
104	477976
126	936456
59	693075
40018	9606
